#wylie	en	fr	es	de
wA dI	vadi	vadi	vadi	vadi
wA gi	vagi	vagi	vagi	vagi
wa k+ka	waka	waka	waka	waka
wA rA hI	varahi	varahi	varahi	varahi
wA ra hi	varahi	varahi	varahi	varahi
wa ra hi	varahi	varahi	varahi	varahi
wa ra NA si	varanasi	varanasi	varanasi	varanasi
wAka	waka	waka	waka	waka
wAk+ka	waka	waka	waka	waka
wak+ka	waka	waka	waka	waka
ya mAn+ta ka	yamantaka	yamantaka	yamantaka	yamantaka
yak+sha	yaksha	yaksha	yaksha	yaksha
yang le ber	yanglé wer	yanglé wer	yangle wer	yangle wer
ye she	yeshe	yéshé	yeshe	yeshe
ye shes	yeshe	yéshé	yeshe	yeshe
yum chen mo	yum chenmo	youm chenmo	yum chenmo	yum chenmo
zhal mjal	shyal jal	shyal jal	shyal jal                     shyal jal
zhe 'dod	shendö	shendö	shendö	shendö
zhes bya ba	shyejawa	shyejawa	shyejawa	shyejawa
zhi bde mchog	shyi demchok	shyi demchok	shyi demchok	shyi demchok
zung du 'jug pa	zungdu jukpa	zoungdou joukpa	zungdu jukpa	zungdu jukpa
